Track,Vehicle,Description,Translation,Rotation,Timestamp
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.4204180288532, 104.22212789178774, 2.027597453182203]","[0.4681273100250174, 0.0, 0.0, 0.8836610332071575]",16415956170.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.87001366087617, 103.90584355133561, 2.01896699882613]","[0.45238877807066574, 0.0, 0.0, 0.8918208303665764]",16415956175.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.11904241048296, 102.75468831867146, 2.0268920940144923]","[0.40742505057130474, 0.0, 0.0, 0.9132386479814407]",16415956180.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-248.41958467749726, 101.54183321485587, 2.033227591192734]","[0.38083802304921566, 0.0, 0.0, 0.9246417685784939]",16415956185.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-251.23199120111184, 98.89135770731022, 2.061181829930362]","[0.4111202592568279, 0.0, 0.0, 0.9115811167573616]",16415956190.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-253.35521643109763, 96.78368984806849, 2.0844226047730245]","[0.3856329896039359, 0.0, 0.0, 0.9226522624093708]",16415956195.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-256.9733280307706, 92.90717105581375, 2.120830306199629]","[0.3632752087429207, 0.0, 0.0, 0.931681878493291]",16415956200.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-259.7096522825685, 89.93119233169159, 2.145047152541636]","[0.3683770091189909, 0.0, 0.0, 0.9296764916639266]",16415956205.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-264.25209185552836, 85.08723913284078, 2.1927454387476217]","[0.3690845025621039, 0.0, 0.0, 0.929395841376797]",16415956210.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-267.5724208563249, 81.603480589888, 2.2286896110818333]","[0.37239232539575035, 0.0, 0.0, 0.9280754042567584]",16415956215.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-272.9533473156276, 76.01371257651283, 2.2836597789747444]","[0.37542097228767, 0.0, 0.0, 0.9268544079663107]",16415956220.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-276.744515366997, 72.01827265433276, 2.312756586239388]","[0.3693769656608972, 0.0, 0.0, 0.9292796442616982]",16415956225.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-282.70942556801623, 65.52936990874551, 2.3679318684693413]","[0.3591490004125963, 0.0, 0.0, 0.9332802341754769]",16415956230.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-286.8709265680675, 60.86825478678559, 2.403462532086735]","[0.3534632312760599, 0.0, 0.0, 0.9354484187467991]",16415956235.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-293.3937001676774, 53.3948889216325, 2.4562230662282047]","[0.34679810937886757, 0.0, 0.0, 0.9379398015497812]",16415956240.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-297.94643899944305, 48.10373946211276, 2.4889593431672523]","[0.3470987274407678, 0.0, 0.0, 0.9378285948983426]",16415956245.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-305.0810384904955, 39.67766712888095, 2.560650888079085]","[0.33884184845125276, 0.0, 0.0, 0.9408433460136381]",16415956250.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-310.04831437184794, 33.585030130076674, 2.6162116962438446]","[0.33358589048230114, 0.0, 0.0, 0.9427197110865617]",16415956255.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-317.73240596314497, 23.836162627541352, 2.6866047469252035]","[0.3241778761868782, 0.0, 0.0, 0.9459961440677044]",16415956260.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-322.95508294782314, 16.97414620761539, 2.7570877149003596]","[0.31806288447986253, 0.0, 0.0, 0.9480696184966322]",16415956265.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-330.95485708786384, 6.196091822495243, 2.8516264879867395]","[0.3060797078189349, 0.0, 0.0, 0.95200588887962]",16415956270.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-336.26524418623427, -1.4132289631642956, 2.9534302812852475]","[0.29635823722312854, 0.0, 0.0, 0.9550768530490099]",16415956275.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-344.2590803859909, -13.287625653735864, 3.0468735226893937]","[0.2860224868009671, 0.0, 0.0, 0.9582229057188054]",16415956280.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-349.507384614451, -21.46931162637246, 3.1150382137004176]","[0.27897122584037315, 0.0, 0.0, 0.960299461185478]",16415956285.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-357.3342872537296, -34.0329251733078, 3.2279192712420475]","[0.2729136998830844, 0.0, 0.0, 0.9620385191956327]",16415956290.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-362.6152601680609, -42.51626662726058, 3.303167617048363]","[0.2753231109875236, 0.0, 0.0, 0.9613517486103367]",16415956295.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-370.39482888593454, -55.39374845023312, 3.39780745621508]","[0.2591344450766539, 0.0, 0.0, 0.9658412599256747]",16415956300.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-375.2301290772603, -64.212599864641, 3.4622706379105885]","[0.23862098466485324, 0.0, 0.0, 0.9711127770128328]",16415956305.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-381.71848790716894, -77.8782368038984, 3.542543034123497]","[0.20411046950664313, 0.0, 0.0, 0.9789478618587293]",16415956310.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-385.52438064517645, -87.26811638808739, 3.5740321478416277]","[0.18258747870737824, 0.0, 0.0, 0.9831896117327943]",16415956315.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-390.4227780265402, -101.71308439772714, 3.566924516641791]","[0.1464585143385, 0.0, 0.0, 0.9892168132304259]",16415956320.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-393.086168199981, -111.55452683030701, 3.55633850210652]","[0.12103441163605305, 0.0, 0.0, 0.9926483119413011]",16415956325.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-396.1917412112717, -126.59736114286363, 3.5749193162468984]","[0.08873445934357971, 0.0, 0.0, 0.9960553176028943]",16415956330.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-397.72142218190606, -136.73742421550548, 3.5603607904545385]","[0.06476484191811466, 0.0, 0.0, 0.9979005537884632]",16415956335.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-399.21702696513785, -152.0806924485482, 3.4929615704774832]","[0.035969587749132295, 0.0, 0.0, 0.9993528849996669]",16415956340.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-399.6339918830536, -162.33393097961797, 3.4591389395189296]","[0.0072815152864868634, 0.0, 0.0, 0.9999734894161608]",16415956345.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-399.3369659394125, -177.7871711788394, 3.4268304247411976]","[-0.025591947774122457, 0.0, 0.0, 0.9996724724674211]",16415956350.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-398.6302923163609, -188.0808817338927, 3.4224103647043265]","[-0.04380082839855752, 0.0, 0.0, 0.9990402831876202]",16415956355.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-396.78469995962786, -203.43606320747, 3.4539559843324312]","[-0.07584580974124477, 0.0, 0.0, 0.9971195580995765]",16415956360.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-394.9766194179777, -213.58410515840896, 3.4894693077113033]","[-0.09682124939541151, 0.0, 0.0, 0.9953017862264246]",16415956365.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-391.4996051380483, -228.6474765766603, 3.5417704849969667]","[-0.12913939108527125, 0.0, 0.0, 0.9916264506708792]",16415956370.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-388.58223184738614, -238.4905088136898, 3.5573837672362423]","[-0.15571448960972395, 0.0, 0.0, 0.9878021045359151]",16415956375.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-383.1101986249623, -252.8530566388307, 3.5943556373671584]","[-0.20090798696494208, 0.0, 0.0, 0.979610116716694]",16415956380.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-378.7576989206578, -262.13369296478163, 3.604719981453492]","[-0.2303685588086499, 0.0, 0.0, 0.973103451392721]",16415956385.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-371.29797375982974, -275.6047020446124, 3.6057767546904556]","[-0.2649549373658739, 0.0, 0.0, 0.9642607952029605]",16415956390.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-365.8434559303973, -284.3034544664173, 3.6040618982322963]","[-0.28498063988614725, 0.0, 0.0, 0.9585332727089247]",16415956395.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-357.06496665116526, -296.9854902817812, 3.641116881998774]","[-0.3089805411192872, 0.0, 0.0, 0.9510683599035521]",16415956400.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-350.84324655787844, -305.15284542425434, 3.679808684742179]","[-0.32804294390364364, 0.0, 0.0, 0.9446628112480298]",16415956405.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-340.82624969875167, -316.8099816764378, 3.690407851607034]","[-0.36486927988068873, 0.0, 0.0, 0.9310587567921521]",16415956410.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-333.6600441168159, -324.1590125215225, 3.7154642135395157]","[-0.3858941908338957, 0.0, 0.0, 0.9225430469526357]",16415956415.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-322.25757438641443, -334.44440286470103, 3.761153575031969]","[-0.42214872837847084, 0.0, 0.0, 0.9065265860019992]",16415956420.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-314.2490814976285, -340.8327759067698, 3.765324291886216]","[-0.4441547913113045, 0.0, 0.0, 0.8959500663291519]",16415956425.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-301.5908329400054, -349.51362874393067, 3.8149094928954597]","[-0.48173050034314063, 0.0, 0.0, 0.8763194195264347]",16415956430.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-292.77746339854593, -354.7667635377902, 3.8236886374983]","[-0.5015669100108484, 0.0, 0.0, 0.8651188558702032]",16415956435.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-279.1532614521861, -361.9430018069428, 3.825422444491288]","[-0.5269567258010084, 0.0, 0.0, 0.8498921161730357]",16415956440.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-269.85070497163235, -366.31450940481875, 3.850440357703704]","[-0.5426189491538624, 0.0, 0.0, 0.839978973557766]",16415956445.12345
